model,target,mse,rmse,mae,r2
decision_tree,enterprise_gbps,70.08666532691738,8.371777907166278,5.904292684569445,0.4879524979856542
decision_tree,ran_gbps,110.38763457874839,10.506551983345839,8.21067176232639,-0.784956128357087
decision_tree,pon_gbps,28.92389633943128,5.378094117755032,4.1988301324062505,0.6773806012701562
decision_tree,average,69.79939874836568,8.354603446505745,6.104598193100693,0.12679232363290793
random_forest,enterprise_gbps,19.75732625841526,4.444921400701621,3.5753025057546526,0.8556545740917342
random_forest,ran_gbps,33.88077228228867,5.820719223797749,5.202140292077778,0.4521515716001695
random_forest,pon_gbps,6.472494447035748,2.5441097553045444,1.7258838274074983,0.9278052914351586
random_forest,average,20.03686432924656,4.476255614824354,3.5011088750799755,0.7452038123756873
xgboost,enterprise_gbps,5.499064430493338,2.345008407339585,1.9227231961352058,0.9598242805258902
xgboost,ran_gbps,14.923785360570783,3.863131548442375,3.4271340278962876,0.7586840026123275
xgboost,pon_gbps,4.5880451297445095,2.1419722523283324,1.5179107448226072,0.9488245862959462
xgboost,average,8.336964973602877,2.887380295978151,2.289255989618034,0.8891109824180603
lightgbm,enterprise_gbps,19.343479615865697,4.3981222829595925,3.1898310711907043,0.8586781041533527
lightgbm,ran_gbps,34.985022499380314,5.914813817812046,5.713024035179071,0.4342959648579916
lightgbm,pon_gbps,4.309237699802706,2.075870347541654,1.566030300905778,0.9519344261444114
lightgbm,average,19.545913271682906,4.421076030977403,3.4896284690918513,0.7483028317185852
